Session default channel group,Date,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Paid Social,2024-12-24,3195,880,0.2754303599374021,2.3164319248826293,4.712989045383412,15058,2,0.0006259780907668,1664.0
Cross-network,2024-12-03,3177,1407,0.4428706326723324,28.68271954674221,8.006295247088449,25436,28,0.0088133459238275,16246.0
Organic Shopping,2024-12-20,3167,1133,0.357751815598358,12.21345121566151,6.0631512472371325,19202,8,0.0025260498894853,5251.0
Paid Social,2024-12-11,3154,830,0.2631578947368421,3.8072289156626504,4.919150285351934,15515,3,0.0009511731135066,794.54
Cross-network,2024-12-29,3153,1437,0.4557564224548049,30.814145258483983,7.391056137012369,23304,24,0.0076117982873453,15676.2
Paid Social,2024-12-26,3128,783,0.2503196930946291,3.0850383631713556,4.740728900255754,14829,1,0.0003196930946291,1036.0
Paid Social,2024-12-12,3053,758,0.2482803799541434,2.6115296429741237,4.655420897477891,14213,2,0.0006550933508024,1197.6
Referral,2024-12-16,3038,920,0.3028308097432521,15.1211323238973,6.0263331138907175,18308,15,0.0049374588545095,9570.6
Organic Search,2024-12-10,3032,1377,0.454155672823219,36.08278364116095,8.016160949868073,24305,22,0.0069261213720316,11420.203637
Organic Search,2024-12-11,3025,1421,0.4697520661157024,36.55669421487603,8.930578512396695,27015,32,0.0105785123966942,24136.512828
Organic Social,2024-12-17,3015,1125,0.373134328358209,8.550580431177446,5.690547263681592,17157,13,0.0043117744610281,5199.28
Paid Social,2024-12-07,2996,763,0.2546728971962617,2.5807743658210947,5.12283044058745,15348,3,0.0010013351134846,1504.0
Paid Social,2024-12-18,2984,848,0.2841823056300268,3.0251340482573728,4.858243967828418,14497,1,0.0003351206434316,1099.2
Organic Search,2024-12-09,2980,1386,0.4651006711409396,35.47751677852349,8.548322147651007,25474,23,0.0077181208053691,11940.4
Organic Social,2024-12-22,2967,1193,0.4020896528479946,11.535220761712168,6.121334681496461,18162,11,0.0037074486012807,5245.04
Paid Social,2024-12-16,2965,743,0.2505902192242833,2.7871838111298484,4.747048903878584,14075,2,0.0006745362563237,1087.57
Organic Social,2024-12-16,2959,1121,0.3788442041230145,9.679959445758705,5.8874619803987835,17421,16,0.0054072321730314,8245.169685
Cross-network,2024-12-10,2955,1216,0.4115059221658206,27.15972927241963,7.7096446700507615,22782,29,0.009813874788494,15289.097984
Organic Search,2024-12-27,2949,1457,0.4940657850118684,35.01763309596473,8.111902339776195,23922,25,0.0084774499830451,14751.8
Organic Search,2024-12-26,2934,1399,0.4768234492160872,42.15576005453306,8.110770279481937,23797,26,0.0085207907293796,11296.222353
Cross-network,2024-12-27,2926,1326,0.4531784005468216,32.40020505809979,7.69172932330827,22506,12,0.0041011619958988,7568.8
Cross-network,2024-12-30,2873,1318,0.4587539157674904,28.78141315697877,7.4928646014618865,21527,23,0.0080055690915419,12916.8
Organic Shopping,2024-12-19,2871,943,0.3284569836293974,11.07697666318356,5.966213862765587,17129,11,0.003831417624521,9890.0
Paid Social,2024-12-06,2871,744,0.2591431556948798,2.479972135144549,5.057122953674678,14519,0,0.0,0.0
Organic Social,2024-12-12,2865,1066,0.3720767888307155,9.779057591623037,6.132635253054101,17570,13,0.0045375218150087,7460.05
Referral,2024-12-12,2863,1012,0.3534753754802655,16.6315054139015,6.5354523227383865,18711,9,0.0031435557107928,5582.0
Paid Social,2024-12-19,2847,763,0.2680014049877063,2.2771338250790305,4.764313312258518,13564,0,0.0,0.0
Organic Search,2024-12-28,2843,1350,0.4748505100246218,41.841013014421385,8.140344706296165,23143,20,0.0070348223707351,11659.956949
Organic Search,2024-12-05,2827,1325,0.4686947293951185,35.91333569154581,8.831623629288998,24967,26,0.0091970286522815,14302.6
Organic Search,2024-12-29,2823,1379,0.4884874247254693,40.524619199433225,8.119376549769749,22921,21,0.0074388947927736,8922.453475
Cross-network,2024-12-15,2784,1259,0.4522270114942529,30.291666666666668,8.15625,22707,35,0.0125718390804597,23454.8
Cross-network,2024-12-28,2775,1298,0.4677477477477477,33.42918918918919,7.758558558558558,21530,16,0.0057657657657657,8615.105205
Affiliates,2024-12-28,2758,862,0.312545322697607,8.891588107324148,5.598984771573604,15442,5,0.0018129079042784,2013.8
Organic Search,2024-12-30,2733,1330,0.48664471276985,36.32601536772777,7.86827661909989,21504,15,0.0054884742041712,6478.143436
Cross-network,2024-12-31,2728,1232,0.4516129032258064,30.383064516129032,7.474706744868035,20391,27,0.0098973607038123,16697.0
Organic Search,2024-12-06,2724,1199,0.4401615271659324,31.878854625550662,8.815712187958884,24014,30,0.0110132158590308,14483.02325
Organic Shopping,2024-12-21,2714,944,0.3478260869565217,11.647752394988949,6.040530582166544,16394,7,0.0025792188651436,6100.4
Organic Social,2024-12-19,2703,1013,0.3747687754347021,9.4173140954495,5.780984091749907,15626,18,0.0062893081761006,12010.88
Organic Social,2024-12-11,2687,997,0.3710457759583178,10.932638630442874,6.1369557126907335,16490,9,0.003349460364719,7583.55
Referral,2024-12-08,2671,927,0.3470610258330213,14.459752901535005,6.400224634968176,17095,11,0.0041183077499064,7374.0
Organic Search,2024-12-16,2651,1300,0.4903809883062995,39.29875518672199,8.708034703885327,23085,43,0.0158430780837419,24868.4
Organic Search,2024-12-12,2639,1184,0.4486547934823797,32.46153846153846,8.479348237968928,22377,18,0.006820765441455,13799.8
Organic Social,2024-12-27,2636,1113,0.4222306525037936,12.071320182094082,6.133156297420334,16167,6,0.0022761760242792,3501.2
Organic Social,2024-12-18,2627,1006,0.3829463266082984,8.439284354777312,5.615150361629235,14751,13,0.0049486105824134,12539.36
Organic Search,2024-12-13,2598,1179,0.4538106235565819,33.039645881447264,8.22055427251732,21357,21,0.0080831408775981,14521.163204
Organic Search,2024-12-08,2596,1175,0.4526194144838212,38.586671802773495,8.794298921417566,22830,26,0.010015408320493,17611.256833
Organic Shopping,2024-12-27,2595,1326,0.5109826589595375,26.847013487475916,8.352601156069364,21675,9,0.0034682080924855,4944.95
Referral,2024-12-05,2593,929,0.3582722715001928,16.688777477824914,6.72580023139221,17440,6,0.002313922097956,3088.7
Organic Social,2024-12-31,2585,1021,0.3949709864603482,10.554738878143134,5.540425531914893,14322,9,0.0034816247582205,5509.33
Cross-network,2024-12-12,2576,1025,0.3979037267080745,25.952639751552795,7.457686335403727,19211,20,0.0077639751552795,15527.0
Cross-network,2024-12-16,2571,1106,0.4301828082458187,26.90781796966161,7.744068455853753,19910,17,0.0066122131466355,11046.0
Organic Social,2024-12-28,2571,993,0.3862310385064177,10.60676779463244,6.013224426293271,15460,12,0.0046674445740956,5412.95
Organic Search,2024-12-15,2567,1185,0.4616283599532528,37.12738605375925,8.57265290222049,22006,34,0.0132450331125827,20700.367472
Paid Search,2024-12-24,2567,1221,0.4756525126606934,36.48422282820413,9.137514608492404,23456,36,0.0140241527074405,21881.55
Organic Search,2024-12-25,2563,1230,0.4799063597346859,37.667577058134995,7.958252048380804,20397,16,0.0062426843542723,6374.928892
Affiliates,2024-12-03,2548,663,0.2602040816326531,7.753139717425432,5.220957613814757,13303,6,0.0023547880690737,2440.2
