date,platform,spend,accounting_mode,attribution_model,attribution_window
2024-03-19,ShopMy,213.7029583995044,Cash snapshot,Monthly allocation,1
2024-03-19,TikTok,338.78049188595094,Cash snapshot,Monthly allocation,1
2024-03-20,Google,5105.68,Cash snapshot,Platform reported,1
2024-03-20,Meta,10867.15,Cash snapshot,Platform reported,1
2024-03-20,ShareASale,2936.3166978607446,Cash snapshot,Monthly allocation,1
2024-03-20,ShopMy,219.27600249840566,Cash snapshot,Monthly allocation,1
2024-03-20,TikTok,347.61536546593334,Cash snapshot,Monthly allocation,1
2024-03-21,Google,4913.68,Cash snapshot,Platform reported,1
2024-03-21,Meta,11094.55,Cash snapshot,Platform reported,1
2024-03-21,ShareASale,2942.8243493604646,Cash snapshot,Monthly allocation,1
2024-03-21,ShopMy,219.76197589751175,Cash snapshot,Monthly allocation,1
2024-03-21,TikTok,348.38577270982773,Cash snapshot,Monthly allocation,1
2024-03-22,Google,4773.74,Cash snapshot,Platform reported,1
2024-03-22,Meta,8719.29,Cash snapshot,Platform reported,1
2024-03-22,ShareASale,2480.4501953464705,Cash snapshot,Monthly allocation,1
2024-03-22,ShopMy,185.23315404916116,Cash snapshot,Monthly allocation,1
2024-03-22,TikTok,293.6476851436347,Cash snapshot,Monthly allocation,1
2024-03-23,Google,4565.71,Cash snapshot,Platform reported,1
2024-03-23,Meta,9780.49,Cash snapshot,Platform reported,1
2024-03-23,ShareASale,2637.2901114486176,Cash snapshot,Monthly allocation,1
2024-03-23,ShopMy,196.94552480948133,Cash snapshot,Monthly allocation,1
2024-03-23,TikTok,312.21515260898497,Cash snapshot,Monthly allocation,1
2024-03-24,Google,5110.68,Cash snapshot,Platform reported,1
2024-03-24,Meta,10616.2,Cash snapshot,Platform reported,1
